,0,1,2,3,4,5,6
0,忠泰營造股份有限公司,民權西路,上午10:00-下午15:00,1110922063150,忠泰營造股份有限公司,"[['302662.46', '2772818.617', '302672.476', '2772817.848', '302669.786', '2772813.531', '302678.636', '2772764.315', '302673.224', '2772764.294', '302664.097', '2772815.124', '302662.46', '2772818.617', '302662.187', '2772819.154', '302662.419', '2772829.382', '302722.235', '2772826.652', '302724.76', '2772803.517', '302732.198', '2772769.635', '302720.297', '2772767.975', '302712.845', '2772805.624', '302704.701', '2772812.321', '302669.787', '2772813.262', '302673.015', '2772818.388', '302662.187', '2772819.154']]","[[121.52198082774143, 25.06265160073004], [121.52208007186981, 25.062644309245403], [121.52205324479134, 25.062605429410056], [121.5221390783652, 25.062160802373974], [121.52208543675677, 25.062160801394057], [121.52199691924487, 25.062620009133145], [121.52198082774143, 25.06265160073004], [121.5219781424438, 25.062656458240312], [121.52198083314818, 25.06274878782707], [121.52257359511987, 25.062722056305564], [121.52259773566716, 25.062513107081646], [121.52267015955542, 25.06220696329574], [121.52255213970567, 25.06219239207541], [121.52247972100031, 25.062532544508358], [121.52239925823005, 25.0625932885517], [121.5220532444118, 25.062603000861987], [121.52208543482601, 25.06264916554439], [121.5219781424438, 25.062656458240312]]"
1,億東營造股份有限公司,華齡街,0930~1600,1110922160034,億東營造股份有限公司,"[['302585.692', '2775184.009', '302585.965', '2775183.472', '302587.858', '2775183.748', '302586.545', '2775173.249', '302585.734', '2775173.246', '302585.692', '2775184.009']]","[[121.5213103414946, 25.084008839213535], [121.52131302726812, 25.084003981721317], [121.52133180354143, 25.084006407498958], [121.52131838600658, 25.083911669247083], [121.52131034627934, 25.083911670406113], [121.5213103414946, 25.084008839213535]]"
2,台電南區,景興路94號前至99號對面及景華街66號前、90號至97巷口、103號前、景華街128巷口及景華街136號前至121巷2弄口、景華街150巷2號旁至6號前、景華街161號旁、166號前、180號前、192巷口、194號前、景華街104巷,日間施工9時30分至16時,1110921164813,永騰工程股份有限公司,"[['304980.803', '2765354.689', '304981.007', '2765371.318', '304973.966', '2765371.491', '304981.006', '2765371.351', '304980.958', '2765374.919', '304975.001', '2765375.03', '304980.837', '2765354.454', '304978.558', '2765332.162', '304978.944', '2765320.315', '304974.544', '2765320.298', '304979.594', '2765343.88', '304972.286', '2765343.244', '305007.272', '2765345.674', '305007.443', '2765353.82', '305012.113', '2765353.839', '305012.279', '2765346.165', '305007.274', '2765353.786', '305003.975', '2765353.48', '305003.893', '2765356.845', '305073.476', '2765353.715', '305072.398', '2765360.779', '305086.031', '2765362.484', '305096.478', '2765365.218', '305104.353', '2765368.01', '305124.5', '2765374.217', '305142.673', '2765383.143', '305151.225', '2765394.218', '305088.086', '2765356.4', '305086.589', '2765362.63', '305093.97', '2765357.77', '305092.387', '2765364.158', '305113.374', '2765363.57', '305111.114', '2765370.158', '305151.09', '2765394.284', '305147.929', '2765401.687', '305138.264', '2765398.046', '305147.996', '2765401.788', '305151.917', '2765403.352', '305183.725', '2765404.793', '305186.712', '2765406.983', '305183.106', '2765411.344', '305214.97', '2765416.05', '305217.384', '2765413.266', '305224.401', '2765418.882', '305214.936', '2765416.084', '305211.837', '2765420.682', '305222.199', '2765427.961', '305223.355', '2765426.485', '305241.464', '2765443.101', '305237.965', '2765446.15', '305238.031', '2765446.722', '305234.501', '2765449.098', '305220.169', '2765461.427', '305221.382', '2765462.61', '305274.864', '2765486.286', '305291.59', '2765476.222', '305316.329', '2765459.997', '305323.631', '2765471.523', '305337.955', '2765509.653', '305343.367', '2765507.465', '305316.329', '2765459.997', '305311.551', '2765453.179', '305296.713', '2765540.228', '305292.969', '2765545.397', '305294.703', '2765551.934', '305291.69', '2765553.602', '305299.706', '2765586.959', '305290.226', '2765587.728', '305290.478', '2765592.24', '305304.678', '2765612.896', '305312.258', '2765613.196', '305302.514', '2765662.534', '305305.315', '2765664.598', '305302.446', '2765662.567', '305301.516', '2765666.67', '305304.571', '2765667.411', '305301.516', '2765666.703', '305300.828', '2765669.259', '305292.24', '2765667.137', '305286.702', '2765714.472', '305283.135', '2765726.003', '305284.37', '2765722.002', '305277.882', '2765719.418', '305128.063', '2765375.849', '305132.143', '2765366.643', '305135.413', '2765367.916', '305122.976', '2765373.843', '305119.87', '2765380.192', '305117.91', '2765379.376', '304980.853', '2765358.158', '304987.832', '2765356.436', '304987.832', '2765356.436', '304996.811', '2765354.082', '305151.222', '2765394.152', '305161.512', '2765385.576', '305296.358', '2765679.391', '305297.258', '2765674.548', '305304.697', '2765642.737', '305306.873', '2765640.255', '305307.154', '2765637.766', '305304.054', '2765634.185', '305305.163', '2765594.271', '305304.834', '2765592.115', '305304.1', '2765589.419', '305306.482', '2765586.265', '305314.47', '2765586.095', '305291.257', '2765534.638', '305293.875', '2765540.169', '305295.197', '2765547.983', '305325.224', '2765470.924', '305323.665', '2765471.524', '305066.553', '2765359.353', '305069.597', '2765359.825', '305307.447', '2765582.851', '305309.327', '2765582.662', '305135.186', '2765355.797', '305136.335', '2765356.306', '305138.994', '2765351.47', '305138.967', '2765351.571', '305139.933', '2765350.155', '305137.473', '2765351.134', '305138.934', '2765351.443', '305139.832', '2765350.235', '305141.196', '2765347.783', '305141.101', '2765347.816', '305143.737', '2765348.803', '305141.046', '2765347.937', '305151.192', '2765323.111', '305151.205', '2765323.165', '305152.429', '2765318.451', '305152.936', '2765318.655']]","[[121.54466149051413, 24.995185171740214], [121.54466417304013, 24.995335290599698], [121.54459443139496, 24.99533710776257], [121.54466416444721, 24.99533558855926], [121.54466383093336, 24.99536780212748], [121.5446048249689, 24.995369020249637], [121.54466181796862, 24.99518304893222], [121.5446383551139, 24.994981879870366], [121.54464170745572, 24.9948749114045], [121.54459812030278, 24.994874917477304], [121.54464908401631, 24.995087632159773], [121.54457666541329, 24.995082155359267], [121.54492333464844, 24.995102824406615], [121.54492535287602, 24.995176360114744], [121.544971614844, 24.995176362203352], [121.54497295371486, 24.99510707547417], [121.54492367740156, 24.995176059295087], [121.54489098519083, 24.99517341642323], [121.5448903068492, 24.99520379854554], [121.54557947425792, 24.995173014946257], [121.54556907710088, 24.99523682773676], [121.54570419418249, 24.995251725161918], [121.54580779166061, 24.995276028036624], [121.54588591313212, 24.995300947944852], [121.5460857379382, 24.995356252200477], [121.54626611687254, 24.99543617504947], [121.54635127555504, 24.995535848810007], [121.54572430854392, 24.99519672428194], [121.54570972757676, 24.99525302297226], [121.54578265031724, 24.995208878804096], [121.54576722375526, 24.995266607045053], [121.5459750985036, 24.995260535825437], [121.54595297360679, 24.995320094289212], [121.54634994087033, 24.995536449567318], [121.54631892326655, 24.995603398656904], [121.54622303577231, 24.995570879331247], [121.54631959100466, 24.995604308045316], [121.54635849514557, 24.995618285167225], [121.54667364509353, 24.99563013704173], [121.54670332200938, 24.995649799581216], [121.54666777487142, 24.995689301837782], [121.54698361023281, 24.995730627351094], [121.54700741225635, 24.995705405551142], [121.54707714768358, 24.995755851072687], [121.54698327478474, 24.99573093554049], [121.54695275957056, 24.995772559028765], [121.54705569734915, 24.995837896260447], [121.54706708979685, 24.99582452886315], [121.54724714349898, 24.99597387794659], [121.54721260394705, 24.99600153172966], [121.54721328061794, 24.996006693326027], [121.54717840705567, 24.996028272404356], [121.54703692549327, 24.996140100385848], [121.54704898889196, 24.996150736296723], [121.54757973493213, 24.996362533590506], [121.54774502214248, 24.996271066149024], [121.54798944015455, 24.996123684837638], [121.54806223610119, 24.99622747480193], [121.54820565855833, 24.996571188592743], [121.54825918298431, 24.996551237831962], [121.54798944015455, 24.996123684837638], [121.54794183580967, 24.996062306447232], [121.54779833291542, 24.99684872369914], [121.54776145108069, 24.996895525845584], [121.54777889001136, 24.99695447845322], [121.54774910944768, 24.996969647004097], [121.54782985253996, 24.997270500671853], [121.54773597249896, 24.99727778896365], [121.5477386494322, 24.997318513980446], [121.54788014445359, 24.99750447778527], [121.54795524563276, 24.997506909626715], [121.54786069437186, 24.997952687147457], [121.54788852442874, 24.997971218692868], [121.54786002206725, 24.997952987551194], [121.54785097348679, 24.99799006324144], [121.54788126677988, 24.997996641516977], [121.54785097480777, 24.99799036116447], [121.54784426161342, 24.998013461755534], [121.54775910169215, 24.997994617667267], [121.54770613511475, 24.998422158635652], [121.54767126079133, 24.99852639024945], [121.54768333496588, 24.998490224300873], [121.54761895948269, 24.998467132628328], [121.54612109832074, 24.995370856305673], [121.54616114769455, 24.995287596394586], [121.54619359126816, 24.995298970094055], [121.54607062619202, 24.995352931148023], [121.54604011126644, 24.995410362696067], [121.54602066284178, 24.995403067124343], [121.54466212385222, 24.995216487985285], [121.54473118960841, 24.99520068870159], [121.54473118960841, 24.99520068870159], [121.54482004227481, 24.99517911115546], [121.54635124320244, 24.99553525307273], [121.54645283425891, 24.99545745479714], [121.54780038615557, 24.998105096211905], [121.5478091079514, 24.998061340921048], [121.54788152723363, 24.99777388077277], [121.54790298386023, 24.99775139396273], [121.54790566787248, 24.997728913091585], [121.54787481517651, 24.997696697024114], [121.54788420339874, 24.997336314128102], [121.5478808579505, 24.997316861824395], [121.54787347887378, 24.997292549190828], [121.54789694919697, 24.99726398806978], [121.54797607314366, 24.99726216187188], [121.54774406114103, 24.996798456334403], [121.54777021684254, 24.99684829456307], [121.54778362553478, 24.996918790917796], [121.54807799256498, 24.996222008913843], [121.54806257294933, 24.996227482589177], [121.54551111943752, 24.995224166147516], [121.54554129224697, 24.99522831678921], [121.54790637201395, 24.997233131369658], [121.54792498810552, 24.99723135649382], [121.54619085900967, 24.995189568303278], [121.54620226136069, 24.99519412175829], [121.54622840853811, 24.99515036576266], [121.54622814510559, 24.99515127857023], [121.54623765782989, 24.995138459823348], [121.54621332804818, 24.99514738767826], [121.54622781309845, 24.995150124189408], [121.54623666051279, 24.995139185734736], [121.54625007449334, 24.995116999528552], [121.54624913473704, 24.99511730090691], [121.54627528643314, 24.99512611564652], [121.5462485947339, 24.9951183952924], [121.54634811044748, 24.99489389770748], [121.54634824138107, 24.994894384745326], [121.54636017818656, 24.99485178233883], [121.54636520867767, 24.99485360560292]]"
3,衛工處,迪化街2段、延平北路3段18巷、民權西路、民權西路245巷(景星里),民權西路、環河及延平北路日間施工10時至16時；其餘日間施工9時30分至16時,1110922085814,萬碁工程有限公司,"[['301558.35', '2772952.349', '301561.252', '2772952.344', '301540.788', '2772957.305', '301542.316', '2772957.335', '301543.723', '2772956.967', '301489.653', '2772955.535', '301491.024', '2772955.388', '301492.64', '2772955.426', '301440.189', '2772958.559', '301441.694', '2772958.597', '301443.199', '2772958.451', '301396.941', '2772958.06', '301398.338', '2772958.198', '301399.919', '2772958.489', '301491.301', '2772921.366', '301491.328', '2772920.066', '301491.201', '2772918.427', '301392.58', '2772890.549', '301395.599', '2772889.93', '301380.915', '2772982.468', '301381.297', '2772983.937', '301381.584', '2772985.418', '301489.175', '2773008.303', '301489.041', '2773006.774', '301489.123', '2773005.275', '301487.153', '2772880.427', '301488.573', '2772880.057', '301490.054', '2772880.116', '301343.484', '2772960.714', '301342.941', '2772957.673', '301490.97', '2773033.822', '301491.045', '2773035.256', '301490.996', '2773036.873', '301489.856', '2773080.45', '301492.968', '2773080.394', '301574.922', '2772942.685', '301560.001', '2772952.378', '301541.851', '2772957.362', '301490.99', '2772955.402', '301442.532', '2772958.602', '301398.374', '2772958.228', '301374.11', '2772955.28', '301343.14', '2772959.117', '301491.494', '2773080.675', '301491.027', '2773035.081', '301488.994', '2773006.78', '301491.217', '2772955.422', '301491.338', '2772920.13', '301488.982', '2772884.266', '301488.593', '2772879.892', '301381.314', '2772984.018', '301373.802', '2772955.272', '301398.251', '2772958.141', '301394.091', '2772890.245', '301372.22', '2772955.518', '301373.685', '2772955.328', '301375.176', '2772955.321', '301560.121', '2772952.423', '301563.237', '2772948.777', '301564.499', '2772931.484', '301500.113', '2772956.475', '301493.735', '2772956.221', '301491.066', '2772955.437', '301486.75', '2772941.298', '301486.874', '2772935.277', '301486.753', '2772931.508', '301491.624', '2772931.46', '301491.579', '2772925.37', '301491.362', '2772920.088', '301491.734', '2772917.368', '301491.619', '2772925.395', '301486.842', '2772894.969', '301487.073', '2772882.427', '301488.518', '2772880.314', '301488.469', '2772880.225', '301492.497', '2772878.699', '301511.769', '2772874.661', '301398.312', '2772958.231', '301405.213', '2772958.055', '301405.159', '2772954.489', '301418.855', '2772954.712', '301388.015', '2772953.608', '301379.488', '2772954.417', '301374.684', '2772954.735', '301373.666', '2772955.371', '301394.13', '2772890.531', '301394.806', '2772898.546', '301396.092', '2772911.585', '301394.795', '2772898.341', '301420.152', '2772892.717', '301427.86', '2772890.764', '301437.72', '2772888.783', '301394.746', '2772898.405', '301380.744', '2772900.178', '301368.839', '2772902.934', '301364.215', '2772904.073', '301349.668', '2772906.915', '301373.664', '2772955.253', '301356.741', '2772956.827', '301559.176', '2772961.157', '301559.401', '2772955.372', '301561.116', '2772956.092', '301564.092', '2772956.238', '301489.699', '2772959.531', '301492.709', '2772959.643', '301345.134', '2772960.72', '301345.213', '2772957.794', '301393.719', '2772922.149', '301396.798', '2772922.06', '301396.764', '2772922.06', '301511.856', '2772875.587', '301511.623', '2772874.712']]","[[121.51104244241968, 25.063896991595268], [121.51107120573585, 25.063896847456693], [121.5108685602032, 25.06394233307984], [121.5108837062784, 25.06394255181031], [121.51089763814613, 25.06393918154386], [121.51036166340127, 25.063928096531924], [121.51037524673049, 25.06392672271661], [121.5103912653254, 25.063927010722892], [121.50987150812992, 25.063957081353113], [121.50988642653877, 25.063957373191695], [121.50990133807184, 25.063956003886723], [121.50944283171842, 25.063954047733205], [121.5094566834052, 25.063955246082315], [121.50947236454311, 25.063957819448426], [121.51037671972006, 25.063619564520035], [121.5103769387094, 25.063607827270882], [121.51037561863426, 25.063593034794625], [121.50939708687602, 25.06334471030112], [121.50942698680282, 25.06333901934512], [121.50928489907105, 25.06417494675502], [121.5092887401461, 25.064188195821835], [121.509291640064, 25.064201556453547], [121.51035889929523, 25.06440449941708], [121.51035751394463, 25.06439070025475], [121.51035827063359, 25.064377164572043], [121.51033407533916, 25.06325011075205], [121.5103481359205, 25.063246722039107], [121.51036281715142, 25.063247204235637], [121.5089130851559, 25.063979824837173], [121.50890758972784, 25.06395238929569], [121.5103776452392, 25.06463482238024], [121.51037844225304, 25.064647765897245], [121.51037801706427, 25.0646623657527], [121.51036834771723, 25.06505581531295], [121.51039919085817, 25.06505520372054], [121.51120633563043, 25.063809180130566], [121.51105880758035, 25.063897197084113], [121.51087909838701, 25.063942811422407], [121.51037491025916, 25.063926850266178], [121.50989473266361, 25.06395738980905], [121.50945704134364, 25.06395551569645], [121.50921643575106, 25.06392972626737], [121.50890961599578, 25.063965418891396], [121.5103845915115, 25.06505779079355], [121.51037825729708, 25.06464618662023], [121.51035704832127, 25.06439075602361], [121.51037716094434, 25.063927023091498], [121.5103770402191, 25.06360840471871], [121.51035234716792, 25.06328470673119], [121.51034832798074, 25.06324523174668], [121.50928891166723, 25.064188926507565], [121.50921338267375, 25.063929664513058], [121.50945581896605, 25.063954734447993], [121.50941205191246, 25.06334191442657], [121.5091977116719, 25.063931939160923], [121.50921222510411, 25.063930174055024], [121.50922700306732, 25.063930060178198], [121.51105999865939, 25.063897599247902], [121.51109074668526, 25.063864577059878], [121.51110260740677, 25.063708413762257], [121.51046537408395, 25.063936226416583], [121.51040214828348, 25.0639341506327], [121.51037566485118, 25.063927163655052], [121.51033235751223, 25.063799664569032], [121.5103333613668, 25.063745303085067], [121.51033202110334, 25.063711280880202], [121.5103802987116, 25.063710681598458], [121.51037962490454, 25.063655702943198], [121.51037727652637, 25.063608024727365], [121.51038086190215, 25.06358345604176], [121.51038002230345, 25.063655927279097], [121.51033153669863, 25.06338140573776], [121.51033335721216, 25.063268169369497], [121.51034760039636, 25.06324904409488], [121.51034711140119, 25.063248242276902], [121.510386978099, 25.063234328408747], [121.51057784262126, 25.06319721687336], [121.50945642693516, 25.06395554488874], [121.50952482045952, 25.06395372127035], [121.50952415207448, 25.063921529449992], [121.50965990992492, 25.06392307679528], [121.5093541944031, 25.06391415882888], [121.5092697082305, 25.06392175233502], [121.50922210468185, 25.063924786525266], [121.50921203838797, 25.063930562902563], [121.50941244914063, 25.063344495093364], [121.50941944858107, 25.063416831104114], [121.50943268165965, 25.063534502776875], [121.50941933190059, 25.063414980748977], [121.50967044970814, 25.063363345121115], [121.50974677515617, 25.063345451289035], [121.50984442923365, 25.063327231399416], [121.50941884862256, 25.063415560203794], [121.50928013288255, 25.063432042814586], [121.50916223836695, 25.06345732849954], [121.50911644971062, 25.063467768480603], [121.50897237192628, 25.06349392020261], [121.50921201416124, 25.063929497672817], [121.50904433854403, 25.063944282794957], [121.51105095929644, 25.063976481550927], [121.51105297274584, 25.06392424721775], [121.51106999813432, 25.063930688831512], [121.51109950057374, 25.063931905382407], [121.51036226879523, 25.06396417063402], [121.51039210696167, 25.063965079217017], [121.50892943955897, 25.063979822951783], [121.50893011344515, 25.06395340449437], [121.50940955583675, 25.063629954701632], [121.50944007031468, 25.06362904651378], [121.50943973332046, 25.063629047669973], [121.51057873957488, 25.06320557378615], [121.51057639744201, 25.06319768227444]]"
4,衛工處,辛亥路六段78至84號及辛亥路六段86巷1號~4號及6弄2號~12號附近地區,日間施工9時30分至16時，週休二日不施工。(復舊相關規定請參閱許可證備註欄位),1110921233643,宏錩工程有限公司,"[['305690.654', '2764699.756', '305715.209', '2764654.144', '305752.509', '2764660.482', '305690.653', '2764699.892', '305691.734', '2764700.435', '305696.115', '2764692.803', '305694.832', '2764692.124', '305699.796', '2764686.422', '305698.175', '2764685.675', '305704.09', '2764679.236', '305702.267', '2764678.084', '305708.182', '2764671.78', '305706.292', '2764670.628', '305712.206', '2764664.526', '305710.043', '2764663.642', '305728.08', '2764656.377', '305727.664', '2764658.732', '305738.904', '2764658.104', '305738.488', '2764660.459', '305717.211', '2764652.976', '305738.994', '2764656.633', '305752.551', '2764660.491', '305717.161', '2764652.976', '305717.402', '2764651.934', '305759.481', '2764702.211', '305760.094', '2764702.192', '305759.492', '2764692.686', '305757.184', '2764678.125', '305752.677', '2764660.578']]","[[121.55166690680205, 24.98924654678068], [121.55190829909701, 24.988833860854516], [121.55227803067282, 24.988889709374195], [121.55166690237624, 24.98924777462205], [121.55167763215994, 24.989252637115282], [121.55172072085766, 24.989183574716986], [121.55170798467735, 24.98917749184058], [121.5517569260404, 24.989125832013574], [121.55174083905015, 24.989119147651653], [121.55179917084313, 24.989060799265296], [121.55178106661882, 24.98905046599717], [121.5518394038018, 24.98899333637206], [121.55182063591349, 24.988983005569704], [121.55187897128314, 24.988927699617197], [121.55185750999445, 24.988919798345645], [121.55203588308918, 24.988853547414212], [121.55203185734081, 24.98887482358247], [121.55214317010726, 24.988868740944497], [121.552139144377, 24.988890017115303], [121.55192808286779, 24.988823242628403], [121.55214400228448, 24.98885545748529], [121.55227844706793, 24.98888978908194], [121.55192758759176, 24.98882324446537], [121.55192993281858, 24.988813828460735], [121.55234877540477, 24.98926618139812], [121.55235484674354, 24.989265987327766], [121.5523485001097, 24.989180189537947], [121.55232505071439, 24.98904881805915], [121.5522796986733, 24.98889056988365]]"
5,新工處,忠孝東路4段(國父紀念館北側)部分人行道,平假日:自00時00分至24時00分,1110922114117,翔益營造有限公司,"[['306466.994', '2770445.01', '306467.087', '2770455.373', '306619.625', '2770450.756', '306619.388', '2770442.679', '306466.994', '2770445.01']]","[[121.55959202069525, 25.041085601072076], [121.55959336684474, 25.041179153731015], [121.56110478410775, 25.041131771175124], [121.56110210372118, 25.04105886171286], [121.55959202069525, 25.041085601072076]]"
6,新工處,芳蘭路通過自來水廠區銜接至臺北市第二殯儀館間,自09時00分至17時30分,1110921122604,冠君營造有限公司,"[['305208.52', '2767475.982', '305254.554', '2767439.822', '305273.839', '2767424.015', '305285.889', '2767423.525', '305364.92', '2767428.556', '305435.645', '2767445.535', '305509.698', '2767476.394', '305523.062', '2767485.602', '305566.899', '2767490.491', '305587.593', '2767494.614', '305658.935', '2767492.885', '305686.852', '2767484.922', '305719.285', '2767464.996', '305715.109', '2767459.998', '305683.898', '2767478.986', '305657.339', '2767485.878', '305587.348', '2767488.151', '305525.12', '2767478.879', '305437.567', '2767439.081', '305365.894', '2767421.964', '305273.19', '2767417.281', '305227.56', '2767453.847', '305204.886', '2767470.987', '305208.52', '2767475.982']]","[[121.54700206614778, 25.014327852857825], [121.54745670388417, 25.01399972367462], [121.54764713794748, 25.013856315284855], [121.54776650411371, 25.013851451855825], [121.54854970817206, 25.01389398507141], [121.54925110051393, 25.014044684070512], [121.5499860250428, 25.014320565691474], [121.55011880017253, 25.01440320524915], [121.55055331531263, 25.014445735452917], [121.5507585087519, 25.01448219841957], [121.55146526553844, 25.01446396941917], [121.55174153410393, 25.01439105386752], [121.552062061985, 25.014209970402394], [121.55202048629405, 25.014165002335556], [121.55171202767245, 25.01433757257886], [121.55144917050616, 25.01440076924955], [121.55075582111849, 25.01442385979414], [121.55013891951802, 25.014342434925215], [121.54926988361201, 25.013986347350194], [121.54855909370681, 25.01383443722498], [121.54764043830912, 25.01379554473923], [121.54718982071046, 25.01412732509152], [121.5469658622533, 25.014282890677666], [121.54700206614778, 25.014327852857825]]"
7,衛工處,光明路232號附近地區,日間施工9時30分至16時,1110922075820,廣信工程有限公司,"[['301053.777', '2780922.142', '301045.49', '2780923.119', '301044.937', '2780926.446']]","[[121.50633744173133, 25.13586467292129], [121.50625529241613, 25.13587377396267], [121.50624993191946, 25.135903828402128]]"
8,台電市區,民生東路2段147巷口至民生東路2段147巷11弄22號前,日間施工9時30分至16時,1110922101317,國盛電氣工程有限公司,"[['304057.748', '2772520.383', '304018.573', '2772520.901', '304018.703', '2772522.28', '304018.472', '2772520.929', '303983.357', '2772521.261', '303962.254', '2772515.615', '303969.876', '2772521.364', '303983.34', '2772521.249']]","[[121.53579849270314, 25.059909912540288], [121.53541023963425, 25.05991598939854], [121.53541158219672, 25.05992843424641], [121.53540923969595, 25.059916245789296], [121.5350612189758, 25.05992049745705], [121.53485184046964, 25.059870279312435], [121.53492760936835, 25.059921908692438], [121.53506105001401, 25.05992038972916]]"
9,台電市區,復興南路1段219巷至仁愛路4段口,銑鋪時間為夜間施工23時至5時30分,1110921121742,國盛電氣工程有限公司,"[['304874.959', '2770210.447', '304874.321', '2770131.543', '304875.627', '2770131.466', '304875.49', '2770129.283', '304874.236', '2770129.175', '304876.931', '2770121.961', '304876.956', '2770115.77']]","[[121.54380606670077, 25.039026564272167], [121.54379660348137, 25.038314247836293], [121.54380954222952, 25.038313505323398], [121.54380809772893, 25.03829380232562], [121.54379566691287, 25.03829287278595], [121.54382208584984, 25.038227647579326], [121.54382208713751, 25.038171754771586]]"
